LOC_X,LOC_Y,SHOT_MADE,GAME_DATE
18.6,21.55,FALSE,03-20-2004
13.6,19.25,FALSE,03-20-2004
17.6,21.55,FALSE,03-20-2004
-3.4,23.95,TRUE,03-20-2004
-3.1,23.35,FALSE,03-20-2004
-14.4,17.75,FALSE,03-20-2004
-15.4,24.65,FALSE,03-20-2004
-12.1,7.85,FALSE,03-20-2004
22.8,12.95,TRUE,03-20-2004
-12.3,15.95,FALSE,03-20-2004
-0,5.25,TRUE,03-20-2004
18.9,20.85,TRUE,03-20-2004
7.2,14.65,TRUE,03-20-2004
-19.2,4.15,FALSE,03-20-2004
17.2,5.55,TRUE,03-20-2004
-15.4,18.45,FALSE,03-20-2004
4.9,16.25,FALSE,03-20-2004
-15.1,21.05,FALSE,03-20-2004
14.3,22.05,FALSE,03-20-2004
-0,5.25,FALSE,03-20-2004
-11,22.55,TRUE,03-20-2004
15.8,6.05,TRUE,03-20-2004
-0,5.25,FALSE,03-17-2004
4.1,29.25,FALSE,03-17-2004
8.7,28.95,FALSE,03-17-2004
-0,5.25,FALSE,03-17-2004
-6.7,25.15,TRUE,03-17-2004
-0,5.25,TRUE,03-17-2004
-12.8,16.95,FALSE,03-17-2004
-10.7,22.35,TRUE,03-17-2004
13.3,19.55,FALSE,03-17-2004
10.5,13.35,FALSE,03-17-2004
-6.6,23.55,FALSE,03-17-2004
-0,5.25,TRUE,03-17-2004
11.7,16.25,FALSE,03-17-2004
-11.3,19.55,FALSE,03-17-2004
-0,5.25,TRUE,03-17-2004
-17.2,5.95,FALSE,03-17-2004
7.7,17.55,FALSE,03-17-2004
17.4,11.35,TRUE,03-17-2004
17.4,6.05,FALSE,03-17-2004
-17.9,13.35,TRUE,03-17-2004
-12.1,13.85,FALSE,03-17-2004
10.2,26.75,FALSE,03-17-2004
-0,5.25,TRUE,03-17-2004
22.5,13.95,FALSE,03-16-2004
4.3,10.55,FALSE,03-16-2004
-14.9,28.75,FALSE,03-16-2004
-11.8,21.25,FALSE,03-16-2004
-1.6,26.75,FALSE,03-16-2004
-14.6,8.25,FALSE,03-16-2004
-6.2,9.85,FALSE,03-16-2004
-0,5.25,TRUE,03-16-2004
13.8,21.35,FALSE,03-16-2004
-0,5.25,FALSE,03-16-2004
19.7,6.25,TRUE,03-16-2004
-0,5.25,TRUE,03-16-2004
-0,5.25,TRUE,03-16-2004
14,15.95,FALSE,03-16-2004
0.3,11.15,FALSE,03-16-2004
19.5,21.25,FALSE,03-06-2004
-17.9,5.75,FALSE,03-06-2004
17.6,11.55,FALSE,03-06-2004
-3.3,20.35,TRUE,03-06-2004
16.1,16.95,FALSE,03-06-2004
-2.1,12.95,FALSE,03-06-2004
-1,17.25,FALSE,03-06-2004
-17.1,1.35,TRUE,03-06-2004
16.3,13.35,FALSE,03-06-2004
-0,5.25,FALSE,03-06-2004
-0,5.25,TRUE,03-06-2004
-0,5.25,TRUE,03-06-2004
-0,5.25,FALSE,03-06-2004
17.7,24.65,FALSE,03-06-2004
4.1,13.45,FALSE,03-06-2004
15.1,2.45,TRUE,03-06-2004
-3.8,6.05,TRUE,03-06-2004
0.8,9.25,FALSE,03-06-2004
-0,5.25,TRUE,03-04-2004
7.4,8.85,TRUE,03-04-2004
-0,5.25,TRUE,03-04-2004
17.4,5.55,FALSE,03-04-2004
-0,5.25,FALSE,03-04-2004
-0,5.25,TRUE,03-04-2004
-0,5.25,TRUE,03-04-2004
-14.9,16.15,FALSE,03-04-2004
-0,5.25,FALSE,03-04-2004
17.2,13.35,TRUE,03-04-2004
-7.4,20.25,FALSE,03-04-2004
-13.5,20.25,FALSE,03-04-2004
-9.2,16.75,TRUE,03-04-2004
15.1,16.65,TRUE,03-04-2004
0.8,14.35,FALSE,03-04-2004
-0,5.25,FALSE,03-04-2004
-0,5.25,TRUE,03-04-2004
17.6,13.45,FALSE,03-04-2004
14.9,14.75,TRUE,03-04-2004
18.1,2.95,TRUE,03-04-2004
-11.7,18.05,TRUE,03-04-2004
17.7,14.95,TRUE,03-04-2004
-0,5.25,FALSE,03-03-2004
-0,5.25,FALSE,03-03-2004
-8.5,6.75,FALSE,03-03-2004
-0.5,10.85,FALSE,03-03-2004
-3.9,5.75,FALSE,03-03-2004
19.4,6.55,FALSE,03-03-2004
-13.3,11.35,FALSE,03-03-2004
11.7,26.95,FALSE,03-03-2004
-0.6,9.35,FALSE,03-03-2004
-4.6,8.85,FALSE,03-03-2004
-0,5.25,FALSE,03-03-2004
-0,10.35,FALSE,03-03-2004
-0,5.25,FALSE,03-03-2004
24.1,3.95,FALSE,03-03-2004
-0,5.25,FALSE,03-03-2004
11.3,19.35,FALSE,03-03-2004
-0,5.25,FALSE,03-03-2004
-0,5.25,FALSE,03-03-2004
10.5,4.45,TRUE,03-03-2004
-0,5.25,FALSE,03-03-2004
-8.7,22.15,TRUE,03-03-2004
-0,5.25,FALSE,02-20-2004
11.5,17.55,FALSE,02-20-2004
-10.5,21.85,FALSE,02-20-2004
-6.7,14.15,FALSE,02-20-2004
21.2,21.35,FALSE,02-20-2004
-1.3,23.65,FALSE,02-20-2004
16.4,5.95,FALSE,02-20-2004
-13,21.35,TRUE,02-20-2004
16.1,3.35,TRUE,02-20-2004
-0,5.25,TRUE,02-20-2004
10.5,8.35,FALSE,02-20-2004
-13.5,26.95,FALSE,02-20-2004
-0,5.25,FALSE,02-20-2004
-7.5,19.75,FALSE,02-20-2004
12.5,4.35,FALSE,02-20-2004
1.5,14.35,FALSE,02-20-2004
17.7,9.55,FALSE,02-20-2004
-0,5.25,FALSE,02-20-2004
-3.6,8.85,TRUE,02-19-2004
-18.7,11.85,FALSE,02-19-2004
5.7,29.55,FALSE,02-19-2004
-19.4,6.55,FALSE,02-19-2004
11.2,27.75,TRUE,02-19-2004
10,24.45,TRUE,02-19-2004
7.2,19.55,TRUE,02-19-2004
-5.2,22.15,FALSE,02-19-2004
-0,5.25,TRUE,02-19-2004
-22,16.75,TRUE,02-19-2004
-17.6,3.35,FALSE,02-19-2004
-3.4,5.55,FALSE,02-19-2004
19.1,6.45,FALSE,02-19-2004
-7.2,7.55,TRUE,02-19-2004
1.5,11.65,FALSE,02-19-2004
-14,11.35,FALSE,02-19-2004
16.4,12.45,TRUE,02-19-2004
21.2,19.25,TRUE,02-19-2004
10.3,5.25,FALSE,02-19-2004
12.5,19.85,FALSE,02-19-2004
3.1,5.75,FALSE,02-19-2004
1.5,5.95,FALSE,02-19-2004
10.5,22.65,FALSE,02-19-2004
-1.8,8.05,TRUE,02-19-2004
-0,5.25,FALSE,02-17-2004
-0,5.25,TRUE,02-17-2004
19.7,19.05,FALSE,02-17-2004
-0,5.25,TRUE,02-17-2004
13.6,5.95,FALSE,02-17-2004
-17.2,10.15,FALSE,02-17-2004
-0,5.25,FALSE,02-17-2004
16.1,7.05,FALSE,02-17-2004
1,11.65,FALSE,02-17-2004
-0,5.25,TRUE,02-17-2004
-2,14.75,TRUE,02-17-2004
16.8,19.35,FALSE,02-17-2004
-0,5.25,TRUE,02-17-2004
19.4,11.35,TRUE,02-17-2004
-5.2,9.75,TRUE,02-17-2004
-18.4,9.35,FALSE,02-17-2004
-14,7.85,TRUE,02-17-2004
-0,5.25,TRUE,02-11-2004
-2.6,16.25,FALSE,02-11-2004
-0,5.25,FALSE,02-11-2004
-0,5.25,TRUE,02-11-2004
20.5,20.05,FALSE,02-11-2004
-1.6,21.25,FALSE,02-11-2004
14.1,15.15,FALSE,02-11-2004
20.2,4.45,TRUE,02-11-2004
12.8,4.45,TRUE,02-11-2004
-16.4,15.95,TRUE,02-11-2004
-0,5.25,TRUE,02-11-2004
0.5,11.85,FALSE,02-11-2004
19.2,20.75,FALSE,02-11-2004
14.1,17.05,FALSE,02-11-2004
18.4,3.65,FALSE,02-11-2004
14.8,13.95,TRUE,02-11-2004
-0,5.25,TRUE,02-11-2004
-1.5,22.65,FALSE,02-11-2004
-8.4,3.45,TRUE,02-11-2004
-0,5.25,TRUE,02-11-2004
-14.6,15.25,TRUE,02-11-2004
-16.3,7.35,FALSE,02-08-2004
-0,5.25,TRUE,02-08-2004
-0,5.25,FALSE,02-08-2004
12.3,16.25,FALSE,02-08-2004
-0,5.25,FALSE,02-08-2004
13.1,27.15,FALSE,02-08-2004
-8.4,24.95,FALSE,02-08-2004
16.9,5.25,FALSE,02-08-2004
22.8,12.85,TRUE,02-08-2004
-16.1,3.95,FALSE,02-08-2004
-0,5.25,TRUE,02-08-2004
-17.6,23.85,TRUE,02-08-2004
19.5,20.35,FALSE,02-08-2004
-0.6,24.35,FALSE,02-08-2004
18.4,21.65,FALSE,02-08-2004
-12,25.95,FALSE,02-08-2004
18.7,10.15,FALSE,02-08-2004
-0,5.25,TRUE,02-08-2004
8.4,23.05,FALSE,02-08-2004
8.2,22.65,FALSE,02-08-2004
16.9,22.85,TRUE,02-08-2004
12,27.65,TRUE,02-07-2004
-0,5.25,FALSE,02-07-2004
15.6,13.65,FALSE,02-07-2004
-0,5.25,FALSE,02-07-2004
24.6,3.15,FALSE,02-07-2004
21.7,19.55,FALSE,02-07-2004
-0,5.25,TRUE,02-07-2004
-11.3,20.05,FALSE,02-07-2004
-0,5.25,FALSE,02-07-2004
24.1,6.45,FALSE,02-07-2004
13.8,17.25,FALSE,02-07-2004
2.6,11.85,FALSE,02-07-2004
-0.3,10.05,FALSE,02-07-2004
8.4,20.35,TRUE,02-07-2004
-5.6,4.45,FALSE,02-07-2004
15.4,27.75,FALSE,02-07-2004
-16.7,1.0499999999999998,TRUE,02-07-2004
-6.4,6.05,TRUE,02-07-2004
-15.1,5.15,FALSE,02-07-2004
18.6,3.65,FALSE,02-07-2004
-17.7,23.55,FALSE,02-05-2004
20.5,6.45,FALSE,02-05-2004
1.5,20.75,FALSE,02-05-2004
14.3,26.75,FALSE,02-05-2004
16.9,13.35,TRUE,02-05-2004
17.2,3.95,TRUE,02-05-2004
-17.2,4.45,TRUE,02-05-2004
-3.4,25.65,TRUE,02-05-2004
13.3,15.45,FALSE,02-05-2004
13.6,19.55,TRUE,02-05-2004
-0,5.25,TRUE,02-05-2004
0.5,13.15,TRUE,02-05-2004
7.1,24.85,FALSE,02-05-2004
11.8,23.65,TRUE,02-05-2004
-1.1,23.05,FALSE,02-05-2004
2.5,6.05,TRUE,02-05-2004
17.4,24.95,FALSE,02-05-2004
15.6,4.35,FALSE,02-05-2004
16.9,22.35,TRUE,02-05-2004
18.4,13.85,FALSE,02-05-2004
15.4,9.25,TRUE,02-05-2004
16.4,5.75,FALSE,02-05-2004
-0,5.25,TRUE,02-05-2004
16.8,6.05,TRUE,02-05-2004
-15.8,20.35,FALSE,02-05-2004
15.8,15.95,TRUE,02-05-2004
-0,5.25,FALSE,02-05-2004
10.3,15.95,FALSE,02-05-2004
-0,5.25,TRUE,02-05-2004
0.5,21.65,TRUE,02-03-2004
6.1,11.15,FALSE,02-03-2004
-0,5.25,TRUE,02-03-2004
-15.8,23.55,FALSE,02-03-2004
-2.1,7.75,FALSE,02-03-2004
-11.7,8.35,FALSE,02-03-2004
-0,5.25,TRUE,02-03-2004
-0,5.25,FALSE,02-03-2004
2.6,11.05,TRUE,02-03-2004
14.6,15.65,FALSE,02-03-2004
-0,5.25,TRUE,02-03-2004
-12.1,21.05,FALSE,02-03-2004
-0,7.85,FALSE,02-03-2004
-0,5.25,FALSE,02-03-2004
-0,30.05,FALSE,02-03-2004
15.9,12.45,FALSE,02-03-2004
7.4,13.65,FALSE,02-03-2004
-0,5.25,TRUE,02-03-2004
-0,5.25,TRUE,02-03-2004
-10.8,14.75,TRUE,02-03-2004
-0,5.25,FALSE,02-03-2004
17.1,22.65,FALSE,02-03-2004
17.9,1.5499999999999998,FALSE,02-03-2004
-0,5.25,TRUE,02-03-2004
-2.8,21.05,TRUE,02-03-2004
21.4,17.55,TRUE,02-03-2004
-0,5.25,TRUE,02-03-2004
14.1,26.15,FALSE,02-01-2004
-0,5.25,TRUE,02-01-2004
-0,5.25,FALSE,02-01-2004
-2.4,26.45,FALSE,02-01-2004
-14.1,17.45,TRUE,02-01-2004
-11.5,20.55,FALSE,02-01-2004
18.6,22.05,FALSE,02-01-2004
-9,15.35,FALSE,02-01-2004
-2.4,11.55,FALSE,02-01-2004
11.2,18.75,FALSE,02-01-2004
-15.4,23.65,FALSE,02-01-2004
2,11.15,FALSE,02-01-2004
-13,28.25,FALSE,02-01-2004
-11.5,20.25,TRUE,02-01-2004
18.4,21.65,TRUE,02-01-2004
-9.7,5.25,TRUE,02-01-2004
-0,5.25,TRUE,02-01-2004
17.4,23.05,FALSE,02-01-2004
-11.7,24.85,TRUE,02-01-2004
-13.6,20.85,TRUE,02-01-2004
20.2,3.85,FALSE,02-01-2004
12.2,8.25,FALSE,01-30-2004
14.8,6.95,FALSE,01-30-2004
-0,5.25,TRUE,01-30-2004
6.2,30.05,FALSE,01-30-2004
-0,5.25,FALSE,01-30-2004
-6.6,22.35,FALSE,01-30-2004
-10.2,17.55,TRUE,01-30-2004
14,27.95,FALSE,01-30-2004
1.5,19.85,FALSE,01-30-2004
-0,5.25,FALSE,01-30-2004
-0,5.25,TRUE,01-30-2004
14.3,25.85,TRUE,01-30-2004
-0.1,18.05,FALSE,01-30-2004
0.5,22.15,TRUE,01-30-2004
-13,26.75,TRUE,01-30-2004
11.7,15.25,FALSE,01-30-2004
-0,5.25,TRUE,01-30-2004
-0,5.25,TRUE,01-30-2004
-0,5.25,FALSE,01-30-2004
-0,5.25,TRUE,01-30-2004
-15.4,24.85,FALSE,01-30-2004
14.1,11.65,FALSE,01-30-2004
-5.9,15.75,TRUE,01-30-2004
-1.1,5.55,TRUE,01-24-2004
-0.5,6.75,FALSE,01-24-2004
18.7,23.55,FALSE,01-24-2004
16.4,13.65,FALSE,01-24-2004
-0.6,6.45,FALSE,01-24-2004
-12.8,19.55,FALSE,01-24-2004
18.7,6.55,TRUE,01-24-2004
-0.1,8.75,TRUE,01-24-2004
11.2,17.75,TRUE,01-24-2004
22.2,15.65,TRUE,01-24-2004
14,17.75,TRUE,01-24-2004
0.6,5.55,TRUE,01-24-2004
0.8,10.65,FALSE,01-24-2004
16.8,9.55,FALSE,01-24-2004
-0,6.95,TRUE,01-24-2004
15.9,5.25,TRUE,01-24-2004
-0.5,6.45,TRUE,01-24-2004
-10.2,13.85,FALSE,01-24-2004
-2.4,8.85,FALSE,01-24-2004
-14.6,20.05,FALSE,01-24-2004
-0.1,9.55,FALSE,01-24-2004
-15.6,14.65,FALSE,01-24-2004
14,11.85,FALSE,01-24-2004
-0.6,5.15,TRUE,01-24-2004
-18.6,24.85,FALSE,01-24-2004
-16.3,5.45,FALSE,01-24-2004
1.1,14.75,TRUE,01-24-2004
5.4,24.85,FALSE,01-24-2004
12,20.05,FALSE,01-24-2004
-0,5.25,TRUE,01-23-2004
-0,5.25,TRUE,01-23-2004
16.8,24.15,FALSE,01-23-2004
1,11.35,FALSE,01-23-2004
16.8,14.35,TRUE,01-23-2004
8.7,4.95,FALSE,01-23-2004
19.2,11.55,FALSE,01-23-2004
-0,5.25,TRUE,01-23-2004
-0,5.25,FALSE,01-23-2004
-16.6,3.15,TRUE,01-23-2004
12.3,15.75,TRUE,01-23-2004
9.2,12.15,TRUE,01-23-2004
-22,19.35,FALSE,01-23-2004
-3.4,14.95,TRUE,01-23-2004
-0,5.25,TRUE,01-23-2004
17.6,4.15,FALSE,01-23-2004
-0,5.25,FALSE,01-23-2004
19.9,22.35,FALSE,01-23-2004
-0,5.25,TRUE,01-23-2004
-0.5,30.25,TRUE,01-23-2004
-8.7,18.45,FALSE,01-23-2004
-0,5.25,TRUE,01-23-2004
-0,5.25,TRUE,01-23-2004
10.2,28.25,FALSE,01-23-2004
-0,5.25,TRUE,01-23-2004
14,15.75,FALSE,01-23-2004
-0,5.25,FALSE,01-23-2004
15.3,14.95,FALSE,01-23-2004
-3.3,6.25,FALSE,01-23-2004
-0,5.25,TRUE,01-21-2004
1.1,30.25,FALSE,01-21-2004
22.3,9.35,FALSE,01-21-2004
-0,5.25,TRUE,01-21-2004
17.2,12.05,FALSE,01-21-2004
0.6,29.55,FALSE,01-21-2004
-0,5.25,FALSE,01-21-2004
10.2,27.15,FALSE,01-21-2004
-0,5.25,TRUE,01-21-2004
10.5,12.15,FALSE,01-21-2004
17.2,22.65,FALSE,01-21-2004
-14,6.25,FALSE,01-21-2004
0.3,14.65,TRUE,01-21-2004
-15.6,9.05,FALSE,01-21-2004
-1.1,13.85,TRUE,01-21-2004
-0,5.25,FALSE,01-21-2004
8.2,6.55,TRUE,01-21-2004
3.8,16.25,FALSE,01-21-2004
-0,5.25,FALSE,01-21-2004
14.9,22.05,TRUE,01-21-2004
-0,10.35,TRUE,01-21-2004
12.3,19.05,TRUE,01-21-2004
8.7,20.85,FALSE,01-21-2004
6.1,31.25,FALSE,01-19-2004
-0,5.25,TRUE,01-19-2004
-13.8,28.55,FALSE,01-19-2004
-0,5.25,FALSE,01-19-2004
-17.2,10.05,FALSE,01-19-2004
19.9,3.85,FALSE,01-19-2004
-0,5.25,TRUE,01-19-2004
-9.7,12.35,FALSE,01-19-2004
16.6,5.95,TRUE,01-19-2004
-0,5.25,TRUE,01-19-2004
-0,5.25,FALSE,01-19-2004
0.6,22.65,FALSE,01-19-2004
14.1,27.65,FALSE,01-19-2004
2.8,23.15,FALSE,01-19-2004
19.7,11.05,FALSE,01-19-2004
23.7,13.85,FALSE,01-19-2004
-0,5.25,FALSE,01-19-2004
3.3,25.65,TRUE,01-19-2004
19.1,24.45,FALSE,01-19-2004
-14,12.45,FALSE,01-19-2004
3.6,23.15,TRUE,01-19-2004
16.9,16.15,TRUE,01-19-2004
-0.8,15.15,FALSE,01-17-2004
-0,5.25,FALSE,01-17-2004
18.6,4.95,FALSE,01-17-2004
-0,5.25,TRUE,01-17-2004
-0,5.25,FALSE,01-17-2004
3.9,31.55,FALSE,01-17-2004
-0,19.25,FALSE,01-17-2004
13.8,15.45,TRUE,01-17-2004
20.2,22.85,FALSE,01-17-2004
-13.1,27.15,TRUE,01-17-2004
16.9,12.35,TRUE,01-17-2004
-0,5.25,TRUE,01-17-2004
-16.6,6.75,FALSE,01-17-2004
-0,5.25,TRUE,01-17-2004
-12.8,6.25,FALSE,01-17-2004
-18.9,20.75,TRUE,01-17-2004
-9.8,14.75,TRUE,01-17-2004
-0,5.25,FALSE,01-17-2004
13.3,8.05,TRUE,01-17-2004
-0,5.25,TRUE,01-17-2004
7.9,5.55,FALSE,01-17-2004
15.1,27.95,FALSE,01-17-2004
-0,5.25,TRUE,01-17-2004
-0,5.25,FALSE,01-17-2004
17.7,1.65,TRUE,01-17-2004
-0,5.25,FALSE,01-17-2004
-0,5.25,FALSE,01-17-2004
23,13.45,FALSE,01-14-2004
8.9,20.35,FALSE,01-14-2004
-4.3,11.55,FALSE,01-14-2004
23.2,15.95,FALSE,01-14-2004
17.4,23.05,TRUE,01-14-2004
23.2,10.15,TRUE,01-14-2004
-6.4,6.55,FALSE,01-14-2004
15.3,1.35,FALSE,01-14-2004
2.1,13.15,FALSE,01-14-2004
22.2,17.95,TRUE,01-14-2004
6.6,13.85,FALSE,01-14-2004
-14.3,25.85,FALSE,01-14-2004
8,24.35,TRUE,01-14-2004
-14.4,26.95,TRUE,01-14-2004
14.3,25.45,FALSE,01-14-2004
-0.3,11.65,FALSE,01-14-2004
-0,5.25,FALSE,01-14-2004
6.9,11.55,FALSE,01-14-2004
8.2,28.75,TRUE,01-14-2004
10.8,13.15,FALSE,01-14-2004
1.3,22.05,FALSE,01-14-2004
7.2,29.05,FALSE,01-14-2004
-13.8,19.55,TRUE,01-14-2004
6.4,23.05,TRUE,01-14-2004
-11.8,22.15,FALSE,01-14-2004
19.4,15.25,TRUE,01-14-2004
18.4,6.75,TRUE,01-14-2004
-13.3,21.05,FALSE,01-12-2004
14.8,19.85,FALSE,01-12-2004
-0,5.25,TRUE,01-12-2004
-0,5.25,FALSE,01-12-2004
-0,5.25,FALSE,01-12-2004
16.3,25.65,FALSE,01-12-2004
5.9,19.75,TRUE,01-12-2004
3.4,14.45,TRUE,01-12-2004
-0,5.25,FALSE,01-12-2004
15.9,24.65,TRUE,01-12-2004
-7.2,16.65,FALSE,01-12-2004
21.4,18.05,FALSE,01-12-2004
-16.7,4.35,FALSE,01-12-2004
7.4,13.85,FALSE,01-12-2004
-1.6,11.65,TRUE,01-12-2004
-0,5.25,TRUE,01-12-2004
8.5,12.85,TRUE,01-12-2004
15.8,12.45,FALSE,01-12-2004
-0,5.25,FALSE,01-12-2004
14.5,15.45,TRUE,01-12-2004
8.7,22.15,FALSE,01-12-2004
-2.4,12.95,TRUE,01-12-2004
-18.6,5.15,FALSE,01-12-2004
10.7,13.35,FALSE,01-12-2004
-0,5.25,FALSE,01-12-2004
-20.2,20.75,FALSE,01-12-2004
-3.1,8.55,FALSE,01-12-2004
11.2,9.85,FALSE,01-12-2004
8.5,22.55,FALSE,01-12-2004
-3.9,6.25,FALSE,01-10-2004
22,20.05,FALSE,01-10-2004
-13.1,28.25,FALSE,01-10-2004
3.8,4.95,TRUE,01-10-2004
-0.6,25.15,FALSE,01-10-2004
-2.6,4.95,TRUE,01-10-2004
19.9,19.75,FALSE,01-10-2004
16.9,15.15,TRUE,01-10-2004
-11.2,23.15,FALSE,01-10-2004
-3.1,6.55,FALSE,01-10-2004
18.9,2.45,TRUE,01-10-2004
-0.5,8.75,TRUE,01-10-2004
-4.9,21.55,FALSE,01-10-2004
-9.5,19.75,FALSE,01-10-2004
-12.1,19.05,FALSE,01-10-2004
-5.2,23.55,FALSE,01-10-2004
-0.6,7.75,FALSE,01-10-2004
-17.4,14.45,FALSE,01-10-2004
13.1,27.25,TRUE,01-10-2004
1,4.95,TRUE,01-10-2004
-10.5,24.45,FALSE,01-10-2004
-13,21.35,FALSE,01-09-2004
5.2,30.55,TRUE,01-09-2004
17.4,4.95,TRUE,01-09-2004
-0,5.25,FALSE,01-09-2004
-19.4,6.05,FALSE,01-09-2004
-14.9,25.15,FALSE,01-09-2004
-0,5.25,FALSE,01-09-2004
16.8,23.85,TRUE,01-09-2004
16.9,4.65,TRUE,01-09-2004
